2025-08-13 03:52:42 | INFO     | werkzeug             |  * Detected change in 'C:\\Users\\thaya\\AppData\\Local\\Programs\\Python\\Python310\\Lib\\site-packages\\coverage\\misc.py', reloading
2025-08-13 03:53:06 | INFO     | root                 | Logging initialized - Level: INFO, File: logs\video_processor.log
2025-08-13 03:53:06 | ERROR    | __main__             | Error starting processing: name 'os' is not defined
2025-08-13 03:53:06 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:53:06] "[35m[1mPOST /api/start_processing HTTP/1.1[0m" 500 -
2025-08-13 03:53:07 | INFO     | root                 | Logging initialized - Level: INFO, File: logs\video_processor.log
2025-08-13 03:53:07 | ERROR    | __main__             | Error starting processing: name 'os' is not defined
2025-08-13 03:53:07 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:53:07] "[35m[1mPOST /api/start_processing HTTP/1.1[0m" 500 -
2025-08-13 03:53:09 | ERROR    | __main__             | Error adding test job: 400 Bad Request: Failed to decode JSON object: Expecting value: line 1 column 1 (char 0)
2025-08-13 03:53:09 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:53:09] "[35m[1mPOST /api/add_test_job HTTP/1.1[0m" 500 -
2025-08-13 03:53:12 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:53:12] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:53:13 | INFO     | root                 | Logging initialized - Level: INFO, File: logs\video_processor.log
2025-08-13 03:53:13 | ERROR    | __main__             | Error starting processing: name 'os' is not defined
2025-08-13 03:53:13 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:53:13] "[35m[1mPOST /api/start_processing HTTP/1.1[0m" 500 -
2025-08-13 03:53:23 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:53:23] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:53:33 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:53:33] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:53:43 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:53:43] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:53:53 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:53:53] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:54:03 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:54:03] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:54:13 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:54:13] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:54:23 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:54:23] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:54:33 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:54:33] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:54:43 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:54:43] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:54:53 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:54:53] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:55:03 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:55:03] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:55:41 | INFO     | root                 | Logging initialized - Level: INFO, File: logs\video_processor.log
2025-08-13 03:55:41 | ERROR    | __main__             | Error starting processing: name 'os' is not defined
2025-08-13 03:55:41 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:55:41] "[35m[1mPOST /api/start_processing HTTP/1.1[0m" 500 -
2025-08-13 03:55:42 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:55:42] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:55:51 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:55:51] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:56:03 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:56:03] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:56:12 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:56:12] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:56:23 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:56:23] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:56:30 | INFO     | root                 | Logging initialized - Level: INFO, File: logs\video_processor.log
2025-08-13 03:56:30 | ERROR    | __main__             | Error starting processing: name 'os' is not defined
2025-08-13 03:56:30 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:56:30] "[35m[1mPOST /api/start_processing HTTP/1.1[0m" 500 -
2025-08-13 03:56:33 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:56:33] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:56:41 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:56:41] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:56:53 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:56:53] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:57:02 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:57:02] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:57:13 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:57:13] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:57:22 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:57:22] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:57:33 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:57:33] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:57:43 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:57:43] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:57:52 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:57:52] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:57:55 | INFO     | werkzeug             |  * Detected change in 'D:\\t2d\\VideoProcessorApp\\web_ui.py', reloading
2025-08-13 03:57:55 | INFO     | werkzeug             |  * Detected change in 'D:\\t2d\\VideoProcessorApp\\web_ui.py', reloading
2025-08-13 03:58:14 | INFO     | root                 | Logging initialized - Level: INFO, File: logs\video_processor.log
2025-08-13 03:58:14 | ERROR    | __main__             | Error starting processing: name 'os' is not defined
2025-08-13 03:58:14 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:58:14] "[35m[1mPOST /api/start_processing HTTP/1.1[0m" 500 -
2025-08-13 03:58:16 | INFO     | root                 | Logging initialized - Level: INFO, File: logs\video_processor.log
2025-08-13 03:58:16 | ERROR    | __main__             | Error starting processing: name 'os' is not defined
2025-08-13 03:58:16 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:58:16] "[35m[1mPOST /api/start_processing HTTP/1.1[0m" 500 -
2025-08-13 03:58:17 | INFO     | __main__             | Client disconnected: 127.0.0.1
2025-08-13 03:58:17 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:58:17] "GET /socket.io/?EIO=4&transport=websocket&sid=9gFV8nKNLePzeFgoAAAA HTTP/1.1" 200 -
2025-08-13 03:58:17 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:58:17] "GET / HTTP/1.1" 200 -
2025-08-13 03:58:17 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:58:17] "GET /socket.io/?EIO=4&transport=polling&t=PYXNJP1 HTTP/1.1" 200 -
2025-08-13 03:58:17 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:58:17] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:58:17 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:58:17] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
2025-08-13 03:58:17 | INFO     | __main__             | Client connected: 127.0.0.1
2025-08-13 03:58:17 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:58:17] "POST /socket.io/?EIO=4&transport=polling&t=PYXNJU9&sid=ISYVUb-C85C3bOVYAAAC HTTP/1.1" 200 -
2025-08-13 03:58:17 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:58:17] "GET /socket.io/?EIO=4&transport=polling&t=PYXNJUF&sid=ISYVUb-C85C3bOVYAAAC HTTP/1.1" 200 -
2025-08-13 03:58:19 | INFO     | root                 | Logging initialized - Level: INFO, File: logs\video_processor.log
2025-08-13 03:58:19 | ERROR    | __main__             | Error starting processing: name 'os' is not defined
2025-08-13 03:58:19 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:58:19] "[35m[1mPOST /api/start_processing HTTP/1.1[0m" 500 -
2025-08-13 03:58:35 | INFO     | root                 | Logging initialized - Level: INFO, File: logs\video_processor.log
2025-08-13 03:58:35 | ERROR    | __main__             | Error starting processing: name 'os' is not defined
2025-08-13 03:58:35 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:58:35] "[35m[1mPOST /api/start_processing HTTP/1.1[0m" 500 -
